Agoncillo,Adia,13.94269984,120.9283654,AGON
Agoncillo,Balangon,13.91817361,120.9132729,AGON
Agoncillo,Bangin,13.92773904,120.9250965,AGON
Agoncillo,Banyaga,14.00973731,120.9504216,AGON
Agoncillo,Barigon,13.98388567,120.9245786,AGON
Agoncillo,Bilibinwang,13.99143961,120.9500803,AGON
Agoncillo,Coral na Munti,13.93689703,120.9160282,AGON
Agoncillo,Guitna,13.93477283,120.9360715,AGON
Agoncillo,Mabini,13.9317365,120.9150801,AGON
Agoncillo,Pamiga,13.93590902,120.9262246,AGON
Agoncillo,Panhulan,13.941487,120.9417549,AGON
Agoncillo,Pansipit,13.92813615,120.9417151,AGON
Agoncillo,Poblacion,13.93593445,120.9318606,AGON
Agoncillo,Pook,13.93121459,120.9302508,AGON
Agoncillo,San Jacinto,13.94542761,120.916424,AGON
Agoncillo,San Teodoro,13.93507325,120.9448768,AGON
Agoncillo,Santa Cruz,13.93535345,120.9285396,AGON
Agoncillo,Santo Tomas,13.93887811,120.9401269,AGON
Agoncillo,Subic Ibaba,13.9493692,120.9440365,AGON
Agoncillo,Subic Ilaya,13.95739346,120.9410233,AGON
Alitagtag,Balagbag,13.8705892,121.0237054,ALI
Alitagtag,Concepcion,13.86760718,121.0170822,ALI
Alitagtag,Concordia,13.84970856,121.0213808,ALI
Alitagtag,Dalipit East,13.86861404,121.0320188,ALI
Alitagtag,Dalipit West,13.86812921,121.0273739,ALI
Alitagtag,Dominador East,13.87663486,121.0305416,ALI
Alitagtag,Dominador West,13.87087579,121.0238916,ALI
Alitagtag,Munlawin Norte,13.86225638,121.0291943,ALI
Alitagtag,Munlawin Sur,13.85698784,121.0388014,ALI
Alitagtag,Muzon Primero,13.85296843,120.9891851,ALI
Alitagtag,Muzon Segundo,13.84198396,120.9921657,ALI
Alitagtag,Pinagkurusan,13.86530278,121.0217873,ALI
Alitagtag,Ping-as,13.88470305,121.0256371,ALI
Alitagtag,Poblacion East,13.86716249,121.0145424,ALI
Alitagtag,Poblacion West,13.873686,121.0034045,ALI
Alitagtag,San Jose,13.86518515,120.9971854,ALI
Alitagtag,San Juan,13.85068029,121.0062978,ALI
Alitagtag,Sta Cruz,13.86477157,120.9945048,ALI
Alitagtag,Tadlac,13.87737142,121.0103404,ALI
Balete,Alangilan,14.000967,121.1175918,BAL
Balete,Looc,14.02811543,121.0851003,BAL
Balete,Magapi,14.02891397,121.0970818,BAL
Balete,Makina,14.0202613,121.1024396,BAL
Balete,Malabanan,14.0114761,121.1243259,BAL
Balete,Paligawan,14.00269809,121.1394507,BAL
Balete,Palsara,14.00796597,121.1106702,BAL
Balete,Poblacion,14.01827692,121.0950096,BAL
Balete,Sala,14.02088202,121.0925010,BAL
Balete,Sampalocan,14.03256956,121.0893638,BAL
Balete,San Sebastian,14.02972958,121.0687042,BAL
Balete,Solis,14.03610615,121.0996533,BAL
Cuenca,Balagbag,13.93072342,121.0650991,CUE
Cuenca,Barangay 1,13.89382637,121.0508392,CUE
Cuenca,Barangay 2,13.89946961,121.0499684,CUE
Cuenca,Barangay 3,13.89968565,121.0528725,CUE
Cuenca,Barangay 4,13.90174348,121.0516662,CUE
Cuenca,Barangay 5,13.9018,121.0504,CUE
Cuenca,Barangay 6,13.90368483,121.0489117,CUE
Cuenca,Barangay 7,13.90673384,121.0495999,CUE
Cuenca,Barangay 8,13.90102448,121.0459884,CUE
